KEGG ID,ms1,formula1,ms2,formula2,trans,pmd
R00344,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00345,132.0059,C4H4O5,167.9824,C3H5O6P,C-1H1O1P1,35.9765
R00346,132.0059,C4H4O5,167.9824,C3H5O6P,C-1H1O1P1,35.9765
R00347,149.0324,C4H7NO5,132.0059,C4H4O5,H-3N-1,-17.0265
R00348,131.0219,C4H5NO4,132.0059,C4H4O5,H-1N-1O1,0.984
R00350,220.0219,C7H8O8,132.0059,C4H4O5,C-3H-4O-3,-88.016
R00351,767.1152,C21H36N7O16P3S,809.1258,C23H38N7O17P3S,C2H2O1,42.0106
R00351,192.027,C6H8O7,132.0059,C4H4O5,C-2H-4O-2,-60.0211
R00352,506.9957,C10H16N5O13P3,427.0294,C10H15N5O10P2,H-1O-3P-1,-79.9663
R00352,767.1152,C21H36N7O16P3S,809.1258,C23H38N7O17P3S,C2H2O1,42.0106
R00352,192.027,C6H8O7,132.0059,C4H4O5,C-2H-4O-2,-60.0211
R00353,853.1156,C24H38N7O19P3S,809.1258,C23H38N7O17P3S,C-1O-2,-43.9898
R00354,941.1316,C27H42N7O22P3S,809.1258,C23H38N7O17P3S,C-4H-4O-5,-132.0058
R00355,146.0215,C5H6O5,147.0532,C5H9NO4,H3N1O-1,1.0317
R00355,133.0375,C4H7NO4,132.0059,C4H4O5,H-3N-1O1,-1.0316
R00357,133.0375,C4H7NO4,132.0059,C4H4O5,H-3N-1O1,-1.0316
R00359,133.0375,C4H7NO4,132.0059,C4H4O5,H-3N-1O1,-1.0316
R00360,134.0215,C4H6O5,132.0059,C4H4O5,H-2,-2.0156
R00361,134.0215,C4H6O5,132.0059,C4H4O5,H-2,-2.0156
R00362,192.027,C6H8O7,132.0059,C4H4O5,C-2H-4O-2,-60.0211
R00363,132.0059,C4H4O5,132.0059,C4H4O5,,0
R00367,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R00368,147.0532,C5H9NO4,665.1248,C21H29N7O14P2,C16H20N6O10P2,518.0716
R00371,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R00372,146.0215,C5H6O5,147.0532,C5H9NO4,H3N1O-1,1.0317
R00373,132.0059,C4H4O5,133.0375,C4H7NO4,H3N1O-1,1.0316
R00380,398.1372,C15H22N6O5S,384.1216,C14H20N6O5S,C-1H-2,-14.0156
R00381,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R00382,664.1169,C21H28N7O14P2,347.0631,C10H14N5O7P,C-11H-14N-2O-7P-1,-317.0538
R00389,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R00389,767.1152,C21H36N7O16P3S,347.0631,C10H14N5O7P,C-11H-22N-2O-9P-2S-1,-420.0521
R00390,506.9957,C10H16N5O13P3,347.0631,C10H14N5O7P,H-2O-6P-2,-159.9326
R00390,767.1152,C21H36N7O16P3S,347.0631,C10H14N5O7P,C-11H-22N-2O-9P-2S-1,-420.0521
R00391,809.1258,C23H38N7O17P3S,767.1152,C21H36N7O16P3S,C-2H-2O-1,-42.0106
R00394,767.1152,C21H36N7O16P3S,443.0243,C10H15N5O11P2,C-11H-21N-2O-5P-1S-1,-324.0909
R00394,522.9907,C10H16N5O14P3,443.0243,C10H15N5O11P2,H-1O-3P-1,-79.9664
